Reaction name in Chemkin format:,C6H5 + C3H6  <=> i1,C6H5 + C3H6 <=> i2,C6H5 + C3H6 <=> CH3CHCH+C6H6,C6H5+C3H6 <=> CH3CCH2+C6H6,C6H5+C3H6 <=> CH2CHCH2+C6H6,i2 <=> p4 + H,i2 <=> p1 + CH3,i2 <=> i3,i2 <=> i8,i2 <=> i9,i2 <=> i10,i1 <=> i3,i1 <=> p2 + H,i1 <=> p3 + H,i1 <=> i4,i1 <=> i7,i1 <=> i6,i8 <=> p7 + CH3,i8 <=> p8 + H,i9 <=> p4 + H,i10 <=> p4 + H,i4 <=> i5,i4 <=> p2 + H,i5 <=> p5 + H,i5 <=> p9 + H,i7 <=> p1 + CH3,i7 <=> p6 + H,i6 <=> p2 + H
Order:,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T(K),"k (units of cm, s, mol)",,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1.92E+09,6.18E+07,1.17E+05,1.96E+06,2.95E+08,4.49E-13,1.44E-08,5.32E+00,5.54E-12,1.58E-11,4.83E-20,4.63E-01,3.25E-12,3.25E-13,3.08E-17,2.10E-15,6.59E-19,4.52E-21,2.32E-07,4.91E-17,1.11E-06,2.47E-02,5.22E-14,5.64E-05,1.93E-21,1.30E-12,5.44E-16,6.71E-07
400,6.53E+09,3.28E+08,4.96E+06,3.89E+07,1.86E+09,8.11E-07,3.26E-03,4.15E+03,4.18E-06,1.22E-05,3.75E-12,4.74E+02,8.60E-06,7.41E-07,7.06E-10,1.44E-08,1.95E-11,3.05E-12,2.16E-02,1.39E-09,5.58E-02,4.37E+01,2.35E-07,1.10E+00,8.53E-13,4.67E-06,1.25E-08,5.95E-02
500,1.59E+10,1.04E+09,5.55E+07,2.78E+08,6.64E+09,4.92E-03,5.74E+00,2.30E+05,1.41E-02,4.19E-02,2.08E-07,3.15E+04,6.71E-02,5.31E-03,1.88E-05,1.85E-04,5.87E-07,6.77E-07,2.23E+01,4.37E-05,4.00E+01,3.87E+03,2.51E-03,4.42E+02,1.43E-07,4.48E-02,3.59E-04,6.03E+01
600,3.18E+10,2.51E+09,3.13E+08,1.17E+09,1.76E+10,1.71E+00,8.78E+02,3.36E+06,3.18E+00,9.64E+00,3.08E-04,5.19E+05,2.75E+01,2.06E+00,1.71E-02,1.03E-01,5.73E-04,2.66E-03,2.40E+03,4.32E-02,3.35E+03,7.66E+04,1.27E+00,2.54E+04,4.46E-04,2.15E+01,3.55E-01,6.38E+03
700,5.62E+10,5.06E+09,1.18E+09,3.54E+09,3.89E+10,1.15E+02,3.26E+04,2.29E+07,1.53E+02,4.76E+02,5.80E-02,3.89E+06,2.10E+03,1.52E+02,2.25E+00,9.56E+00,7.96E-02,1.01E+00,6.96E+04,6.19E+00,8.16E+04,6.43E+05,1.13E+02,4.68E+05,1.41E-01,1.83E+03,5.08E+01,1.84E+05
800,9.12E+10,9.06E+09,3.42E+09,8.75E+09,7.50E+10,2.76E+03,4.97E+05,9.73E+07,2.82E+03,9.00E+03,3.01E+00,1.78E+07,5.55E+04,3.90E+03,8.90E+01,2.90E+02,3.29E+00,8.92E+01,8.94E+05,2.62E+02,9.11E+05,3.18E+06,3.30E+03,4.28E+06,1.08E+01,5.22E+04,2.15E+03,2.34E+06
900,1.38E+11,1.49E+10,8.22E+09,1.86E+10,1.32E+11,3.32E+04,4.19E+06,3.01E+08,2.71E+04,8.88E+04,6.56E+01,5.77E+07,7.14E+05,4.90E+04,1.57E+03,4.14E+03,5.95E+01,2.94E+03,6.55E+06,4.89E+03,6.08E+06,1.11E+07,4.67E+04,2.43E+07,3.21E+02,7.18E+05,4.03E+04,1.71E+07
1000,2.00E+11,2.29E+10,1.75E+10,3.56E+10,2.17E+11,2.45E+05,2.32E+07,7.40E+08,1.66E+05,5.61E+05,7.78E+02,1.50E+08,5.60E+06,3.78E+05,1.57E+04,3.52E+04,6.14E+02,4.86E+04,3.27E+07,4.97E+04,2.80E+07,2.99E+07,3.90E+05,9.79E+07,4.89E+03,5.89E+06,4.24E+05,8.56E+07
